Authors,Title,Discipline,Source title
Lang S.,A Machine Reasoning Algorithm for the Digital Analysis of Alchemical Language and its Decknamen,,Ambix
"Walker J.H., Venta A., Bechelli J., Brewer T.M., Boisvert D., Bick J., Lewis R., Wells J., Armstrong T.",Testing the role of inflammation in the relation of childhood maltreatment and suicidal ideation among young adults,,Journal of Clinical Psychology
Kneese T.,“They’re describing Yelp in 1992!”: revisiting the Blacksburg Electronic Village,,Internet Histories
"Baker D.L., Baker R.L.",Complexity is Our Responsibility: Concluding Thoughts and Moving Forward,,Studies in Brain and Mind
"Brown E.H., Beam M.",Toward an Ethos of Trans Care in Trans Oral History,,Oral History Review
"Miraglia M., Cerda J.M., Falconer M., Nodari E., Rojas F.",The territory and the viticulture transformation of Mendoza (Argentina) from the perspective of women [El territorio y la transformación vitivinicultura de Mendoza (Argentina) desde la mirada de las mujeres],,Fronteiras(Brazil)
Kielbowicz R.,"Women as Common Scolds in Law and Popular Culture: Pennsylvania, 1824–1972",,Gender and History
"Johanson K., Rutherford L., Reddan B.",Beyond the “good story” and sales history: where is the reader in the publishing process?,,Cultural Trends
Staub M.E.,Making Sense of Plague in the Vietnam War,,Environmental History
Al-Shraiyfeen R.A.M.,A Reading in the Life of Abu Musa al-Ash'ari During the Time of the Prophet and the Rightly-Guided Caliphs,,Jordan Journal for History and Archaeology
Seth K.,Artifacts of Care: The Collection of Medical Records by Families in North India,,"Culture, Medicine and Psychiatry"
Mols N.M.L.,Partitioning Sites for Invention in Serlio’s and Palladio’s Palazzi,,Nexus Network Journal
Sayer F.,Hard roads to travel: Lessons learnt from practising community archaeology,,Journal of Community Archaeology and Heritage
Cappelletti A.,"Renarrating the ""western territories:"" Training programs for college students in China's Far West",,Journal of Nationalism Memory and Language Politics 
Pallua I.,The materiality of space heating: heat pumps and heating transitions in 20th-century Switzerland,,History and Technology
Keber K.,CARNIOLA’S DEFENSE MECHANISM FOR PROTECTION AGAINST THE FIRST CHOLERA EPIDEMIC IN EUROPE [Der Abwehrmechanismus zum Schutze vor der ersten Choleraepidemie in Europa] [Kranjski obrambni mehanizem za zaščito pred prvo epidemijo kolere v Evropi],,Kronika
"Bird E.R., Stappenbeck C.A., Blayney J., Kaysen D., George W.H.",Examination of Sex-Related Distress and Self-Medication Drinking Model in U.S. College Women,,Journal of Sex Research
Merrington J.,The building projects and the Histories of Gregory of Tours,,Early Medieval Europe
"Hegge S., Wajda S., Worrall M.",Fashion Out of Scranton: The One Hour Dress,,Dress
Nencini P.,Facts and Factoids in the Early History of the Opium Poppy,,Social History of Alcohol and Drugs
"Baker D.L., Baker R.L.",Ages of Consent and Majority,,Studies in Brain and Mind
"Belkhiri H., Douifi M.",Hdidouane: an Algerian clown and a marginalized comic icon,,Comedy Studies
"Matthews J., Baba Zain H.","Creating one nation? Ethno-national imaginaries, audiences and the critical reception of TV nation branding messages",,Nations and Nationalism
Salisbury D.,"Countering a technological Berlin tunnel: North Korean operatives, helicopters and intelligence in the Cold War illicit arms trade, 1981-1986",,Intelligence and National Security
"Baker D.L., Baker R.L.","Brains in Society: Of the People, for the People, and by the People?",,Studies in Brain and Mind
Istanbulli L.,Mihyar’s precarious journey: imagining the intellectual in modern Syrian literature,,Contemporary Levant
McKinley A.,"Merchants, Maidens, and Mohammedans: A History of Muslim Stereotypes in Sinhala Literature of Sri Lanka",,Journal of Asian Studies
Stevenson C.,"Radical Pedagogies: Right Here, Right Now!",,Fashion Theory - Journal of Dress Body and Culture
Rouard X.,DID INDO-EUROPEAN LANGUAGES STEM from A TRANS-EURASIAN ORIGINAL LANGUAGE? AN INTERDISCIPLINARY APPROACH,,Scientific Culture
Erickson A.L.,"Wealthy businesswomen, marriage and succession in eighteenth-century London",,Business History
"Zuckerman S., Lightsey O.R., Jr., White J.M.","What predicts suicidality among psychologists? An examination of risk and resilience*,#",,Death Studies
"Feit M.E., Sandberg B.",The Dissonance of “Doing Good”: Fostering Critical Pedagogy to Challenge the Selective Tradition of Nonprofit Management Education,,Public Integrity
Martin B.G.,The Rise of the Cultural Treaty: Diplomatic Agreements and the International Politics of Culture in the Age of Three Worlds,,International History Review
Busko S.I.,URBAN LEISURE: YACHT CLUBS IN THE SOCIAL AND CULTURAL SPACE OF BELARUSIAN PROVINCES IN THE LATE 19th – EARLY 20th CENTURY,,Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Istoriya
Gürle M.,The return of children: A comparative study on the contemporary Turkish and Irish novel,,New Perspectives on Turkey
Sterritt D.,"Adare in the Underworld: Suspicious Characters, Discarded Histories",,Quarterly Review of Film and Video
Şiviloğlu M.R.,The Ottoman Empire and the emergence of its ‘Irish Question’,,Middle Eastern Studies
"Reeves K., Mountford B.",All that glitters: telling the fiftieth anniversary story of gold at Sovereign Hill,,Journal of Heritage Tourism
Kelly P.,Smartphone filmmaking for queer Australian documentary,,Studies in Documentary Film
"Esposito E., Breeze R.",Gender and politics in a digitalised world: Investigating online hostility against UK female MPs,,Discourse and Society
van Marle K.,University Spaces as Sites of Conscience,,Space and Culture
Nerlekar A.,The Ecology of the Archive in Adil Jussawalla's ‘Date Book’ for a Missing Novel,,South Asia: Journal of South Asia Studies
Yang C.,"A new estimate of Chinese male occupational structure during 1734–1898 by sector, sub-sector pattern, and region",,Economic History Review
Ahnland L.,Survey article on Nordic financialisation in the long run,,Scandinavian Economic History Review
"Andrejevic M., Fordyce R., Li L., Trott V.",Automated culture: introduction,,Cultural Studies
Brown L.,The Shift of the Centre of Gravity of the Church from the West to the Majority World: A Response1,,Transformation
"Heydari-Guran S., Ghasidian E.",Ecological Landscape Structure and Game Management Strategy among the Upper Palaeolithic Societies of Southern Zagros Mountains,,Environmental Archaeology
Caroti S.,"English title: Neither Plotinus nor Faustus: The Complexity of Understanding and the History of Philosophy [NÉ PLOTINO, NÉ FAUSTO: LA COMPLESSITÀ DELLA COMPRENSIONE E LA STORIA DELLA FILOSOFIA]",,Noctua
"Baik C.M.-H., Cheng W.",Cold War Reformations,,Amerasia Journal
"Woodworth J., Kristensson J., Rasmussen B.H., Selberg R.","‘Exploring Narratives of Death’ (END): A case study of researcher experiences in studying dying, death and grief in an interdisciplinary setting",,Mortality
"Flaherty J., Garratt E.",Life history mapping: Exploring journeys into and through housing and homelessness,,Qualitative Research
Santamaría García A.,Reviewing Latin American railway historiography: New trends and research avenues,,Journal of Transport History
Quraishi F.,Luminescent Lotuses: Mimesis in Mihrābs and Micro-architecture at Maklī,,Philological Encounters
Eriksson M.,"To the mutual benefit of the member states. Nordic transnational road cooperation, 1956–1966",,Journal of Transport History
Delwiche T.R.,"""And why may not I go to College?"" Alethea Stiles and Women's Latin Learning in Early America",,Humanistica Lovaniensia: Journal of Neo-Latin studies
"Korpalo O., Mytsan D.","Surnames of Ukrainians of Eastern Galicia, motivated by own names of Polish origin",,Poradnik Jezykowy
"Zverev V.O., Polovnikov O.G.",Betrayal and the Fight against German and Austrian Espionage on the Eastern Front of the First World War (1914—1916),,Voprosy Istorii
Stoll C.,Understanding the Church Eschatologically. A Pattern of Theological Reform in Texts and Sources of Vatican II,,Irish Theological Quarterly
"Antofi S., Ifrim N.D.","Identity Reconfigurations, Memory and Personal History in Norman Manea and Saul Bellow’s ‘Spoken Book’",,CLCWeb - Comparative Literature and Culture
"Sabazali C., Cheverko C.M.",Exploring the inclusion of developmental stress trajectories on past adult mortality patterns: Quantifying skeletal plasticity and adult mortality risk in post-medieval London using a probability tree model,,International Journal of Osteoarchaeology
Łesiuk M.,Grammatical category of time in Polish and Ukrainian from a diachronic perspective [GRAMATYCZNA KATEGORIA CZASU W JĘZYKU POLSKIM I UKRAIŃSKIM W UJĘCIU DIACHRONICZNYM],,Poradnik Jezykowy
Melikov E.N.,From the History of Development of Science and Higher Education in the South-Eastern Region of the Republic of Azerbaijan in 2003—2018,,Voprosy Istorii
Cuttica C.,'The History of Political Thought Above All': A Portrait of Johann P. Sommerville (1953-),,Hobbes Studies
Kravetsky A.G.,Capital or Lowercase Letters? The History of Orthography Practices in the 17th and 18th Centuries,,Russkaya Rech
"Pinto C.R.J., Karawejczyk M., Westhrop A.J.","History, political science and women's studies: An interview with Céli Regina Jardim Pinto [HISTÓRIA, CIÊNCIA POLÍTICA E ESTUDO DAS MULHERES: COM A PALAVRA, CÉLI REGINA JARDIM PINTO]",,Estudos Historicos
Bührer W.,On the Origins of Evil in the Priestly Primeval History,,Vetus Testamentum
Das P.,Rethinking Cholera in Jagannath Puri in the Nineteenth Century,,History and Sociology of South Asia
"Pavel A., Țăreanu D.",ATHEISM VS. FAITH THE EARLY CHURCH AND THE REVELATION IN ENGELS’ VISION,,European Journal of Science and Theology
Tkaczuk T.,"Music inspirations in Prawda starowieku (Truth of the old days), part one of the tetralogy by S. Vincenz [MUZYCZNE INSPIRACJE W PRAWDZIE STAROWIEKU – PIERWSZEJ CZĘŚCI TETRALOGII STANISŁAWA VINCENZA]",,Poradnik Jezykowy
"Talcott T.N., Levy A.P., Gaspelin N.",Covert attention is attracted to prior target locations: Evidence from the probe paradigm,,"Attention, Perception, and Psychophysics"
Bayramova L.M.,History of Studying Genre Siro in World Oriental Studies,,Voprosy Istorii
Biriukov D.,"Different faces of Byzantium: The attitudes towards Byzantium presented in Ivan Kireevsky, Alexey Khomyakov, and their social circle",,Studies in East European Thought
"Bocheng Z., Qinglian W., Zhiqing Z., Yu D., Wei D.",Research on Urbanization under the Influence of Regional War (on the Example of Harbin City),,Voprosy Istorii
Rajani S.,"Before Ethnicity: Reading Sindh Between Religion, Race, Language, and Nation",,Philological Encounters
Nathan W. O’Halloran S.J.,Purgatory and the “Time” of the Eschatological Healing of Victims,,Modern Theology
Borghero C.,Philosophical Myths and Historiographical Mirages [MITI FILOSOFICI E MIRAGGI STORIOGRAFICI],,Noctua
"Roshchin S.P., Lyudmila S.",Formation of Art Education as a Component of the System of Professional Art of the European Type,,Voprosy Istorii
Dubisz S.,Continuity of the development of the Polish language [CIĄGŁOŚĆ ROZWOJU JĘZYKA POLSKIEGO],,Poradnik Jezykowy
Ahida R.,Al Ghazali and Philosophy of History,,Voprosy Istorii
Lehn M.,"“Mrs. Nixon's Goodwill Mission”: The Great Peruvian Earthquake, Rhetorical History, and the Art of Personal Diplomacy",,Presidential Studies Quarterly
Van Belle J.,Text/Author/Audience: Audience Reception of Ingmar Bergman and His Films,,"Historical Journal of Film, Radio and Television"
Bastianes M.,Negotiating cultural exchange. Federico García Lorca on the British stage from the Spanish civil war until the mid-fifties,,Studies in Theatre and Performance
"Liu L., Hou X., Yu X., Wang N., Zhang Y., Cao X.","Vegetation and environmental changes since the Last Glacial Maximum inferred from a lake core from Saiyong Co, central Tibetan Plateau",,Holocene
"Scheiring G., King L.","Deindustrialization, social disintegration, and health: a neoclassical sociological approach",,Theory and Society
"Weaver S., Bakhmetyeva T., Rinn D.W.",Climate Witness: Oral Environmental History and Community-Based Research—A Case Study from Trans-Himalayan India,,Oral History Review
Cellucci C.,Introduction,,Synthese Library
Shupe A.,George Crumb's Black Angels and the Vietnam War,,Contemporary Music Review
"Favaretti Camposampiero M., Scribano E.",Introduction: Philosophical and Medical Galenisms,,International Archives of the History of Ideas/Archives Internationales d'Histoire des Idees
