Authors,Title,Discipline,Source title
"Kim M., Nam Y., Crossley S.A.","Roles of working memory, syllogistic inferencing ability, and linguistic knowledge on second language listening comprehension for passages of different lengths",,Language Testing
"Siegelman N., Schroeder S., Acartürk C., Ahn H.-D., Alexeeva S., Amenta S., Bertram R., Bonandrini R., Brysbaert M., Chernova D., Da Fonseca S.M., Dirix N., Duyck W., Fella A., Frost R., Gattei C.A., Kalaitzi A., Kwon N., Lõo K., Marelli M., Papadopoulos T.C., Protopapas A., Savo S., Shalom D.E., Slioussar N., Stein R., Sui L., Taboh A., Tønnesen V., Usal K.A., Kuperman V.",Expanding horizons of cross-linguistic research on reading: The Multilingual Eye-movement Corpus (MECO),,Behavior Research Methods
Zupančič A.,THE SECOND DEATH,,Angelaki - Journal of the Theoretical Humanities
Ccenta P.M.F.,LINGUISTIC IDENTITIES AND ATTITUDES OF ANDEAN MIGRANTS IN SOCIODEMOGRAPHIC AREAS OF LANGUAGE CONTACT [IDENTIDADES Y ACTITUDES LINGÜÍSTICAS DE MIGRANTES ANDINOS EN ÁREAS SOCIODEMOGRÁFICAS DE LENGUAS EN CONTACTO],,Forma y Funcion
Schmidt L.B.,"AN EXPLORATORY STUDY OF THE LINGUISTIC AND SOCIAL PREDICTORS OF/S/-VOICING IN QUITO, ECUADOR [UN ESTUDIO EXPLORATORIO DE LOS PREDICTORES LINGÜÍSTICOS Y SOCIALES DE LA SONORIZACIÓN DE/S/EN QUITO, ECUADOR]",,Forma y Funcion
Olivier A.,"THE LANGUAGE OF SUBJECTIVE RIGHTS AND THE INDIVIDUAL FREEDOMS: BETWEEN PRIVILEGES, POWERS AND IMMUNITIES [A LINGUAGEM DOS DIREITOS SUBJETIVOS E AS LIBERDADES INDIVIDUAIS: ENTRE PERMISSÕES, PODERES E IMUNIDADES] [EL LENGUAJE DE LOS DERECHOS SUBJETIVOS Y LAS LIBERTADES INDIVIDUALES: ENTRE PERMISOS, PODERES E INMUNIDADES]",,Revista Opiniao Juridica
Serfati M.,INTRA-LINGUISTIC COMPARISON OF THE LEXICAL AVAILABILITY OF SPANISH AS A FOREIGN LANGUAGE IN MOROCCO (HIGH SCHOOL AND UNIVERSITY LEVELS) [COMPARACIÓN INTRALINGÜÍSTICA DE LA DISPONIBILIDAD LÉXICA DE ESPAÑOL COMO LENGUA EXTRANJERA EN MARRUECOS (NIVELES DE ENSEÑANZA MEDIA Y UNIVERSITARIA)],,Forma y Funcion
"Palacios-Hidalgo F.J., Gómez-Parra M.E., Huertas-Abril C.A.",Spanish bilingual and language education: A historical view of language policies from EFL to CLIL,,Policy Futures in Education
"Kolb N., Mitrofanova N., Westergaard M.",Crosslinguistic influence in child L3 English: An empirical study on Russian-German heritage bilinguals,,International Journal of Bilingualism
"Heredia R.R., Angelovska T., Cieślicka A.B.",An online (r)examination of frequency and context effects in code-switching using the auditory moving window,,International Journal of Bilingualism
Mélac E.,The grammaticalization of evidentiality in English,,English Language and Linguistics
"Di Lucia P., Glaze L.P.",The first and the last word Critical remarks on Himma’s philosophical enterprise,,Revus
"D'Souza J., Mulang I.O., Auer S.",Ranking facts for explaining answers to elementary science questions,,Natural Language Engineering
De Angelis R.,Semiology: In the light of Saussure' words,,Semiotica
"Kangasharju A., Ilomäki L., Lakkala M., Toom A.",Lower secondary students’ poetry writing with the AI-based Poetry Machine,,Computers and Education: Artificial Intelligence
"Ford C., Tucker B.V., Ono T.",Voiceless nasals in the Ikema dialect of Miyako Ryukyuan,,Journal of the International Phonetic Association
"Adisasmito-Smith N., Guekguezian P., Wyatt H.",Chukchansi Yokuts,,Journal of the International Phonetic Association
"Belk Z., Kahn L.O., Szendrői K.E., Yampolskaya S.",Translating COVID-19 information into Yiddish for the UK Hasidic community,,Linguistics Vanguard
"Cergol Paradiž A., Testen Koren P.",SLOVENE WOMEN IMMIGRANTS IN TRST (TRIESTE): THE ISSUE OF IDENTITY AT THE 1910 CENSUS [SLOVENSKE PRISELJENKE V TRSTU: VPRAŠANJE IDENTITETE OB LJUDSKEM ŠTETJU 1910],,Dve Domovini
"Strandberg J.A.E., Gooskens C., Schüppert A.",Errors or identity markers? A survey study on the use of and attitudes towards finlandisms and fennicisms in Finland Swedish,,Nordic Journal of Linguistics
Caldwell-Harris C.L.,"Passionate about languages, but listening and speaking–¡Ay, Caramba! Autistic adults discuss foreign language learning",,Journal of Multilingual and Multicultural Development
"Shoda V.P., Yamanaka T.",A Study on Instructional Humor: How Much Humor Is Used in Presentations?,,Behavioral Sciences
"Toni A., Santos R.S.",Does age reflect language mastery? Effect of performance measures in the analysis of phonological data [A idade reflete o domínio linguístico? Efeito das medidas de desempenho na análise de dados em aquisição fonológica],,Revista de Estudos da Linguagem
"Lin H., Gu Y.","""Hold infinity in the palm of your hand."" A functional description of time expressions through fingers based on Chinese Sign Language naturalistic data",,Language and Cognition
Li R.,Research trends of blended language learning: A bibliometric synthesis of SSCI-indexed journal articles during 2000-2019,,ReCALL
"Altaş B., Şahinkarakaş Ş.",Investigating How Learners Respect Alien Voices in a Foreign Language Classroom [Bir Yabancı Dil Sınıfında Öğrencilerin Farklı Seslere Nasıl Saygı Gösterdiklerinin Araştırılması],,Hacettepe Egitim Dergisi
"Cooperrider K., Slotta J., Núñez R.","The ups and downs of space and time: Topography in Yupno language, culture, and cognition",,Language and Cognition
"Ginsburg S., Stroud L., Lynch M., Melvin L., Kulasegaram K.",Beyond the ratings: gender effects in written comments from clinical teaching assessments,,Advances in Health Sciences Education
Hardman D.,Manufacturing the placebo effect,,Philosophical Investigations
"Olujobi O.J., Ufua D.E., Okorie U.E., Ogbari M.E.","Carbon emission, solid waste management, and electricity generation: a legal and empirical perspective for renewable energy in Nigeria",,"International Environmental Agreements: Politics, Law and Economics"
"Gavurova B., Kelemen M., Polishchuk V.",Expert model of risk assessment for the selected components of smart city concept: From safe time to pandemics as COVID-19,,Socio-Economic Planning Sciences
Al-Mousa Y.,A semantic reading in Mo’alaqat Tarfa bin Al-Abed,,Dirasat: Human and Social Sciences
Law C.,“Not there at all”: Criticism and Its Concept in Walter Benjamin's Doctoral Dissertation,,European Romantic Review
"Makkonen T., Lavonen J., Tirri K.",Self-Evaluated Multiple Intelligences of Gifted Upper-Secondary-School Physics Students in Finland,,Roeper Review
"Rasoulikolamaki S., Kaur S.","The Representational Strategies of Lionization and Victimization in ISIS’s Online Magazine, Dabiq",,Terrorism and Political Violence
"Rocha B.R., Wong A.W.-K., Ma E.P.-M., Behlau M.",Cross-cultural adaptation of the Brazilian version of the Speech-Specific Reinvestment Scale - SSRS [Equivalência cultural da versão brasileira do protocolo Speech-Specific Reinvestment Scale- SSRS],,CODAS
"García-Jiménez J., Torres-Gordillo J.-J., Rodríguez-Santero J.",Factors Associated with School Effectiveness: Detection of High-and Low-Efficiency Schools through Hierarchical Linear Models,,Education Sciences
López Otero J.C.,Bidirectional cross-linguistic influence on DOM in Romanian-Spanish bilinguals,,International Journal of Bilingualism
Pallarés-I-Maiques M.,Deixis of interface or how to improve advertising writing on the Internet [Deixis de interfaz o cómo mejorar la redacción publicitaria en internet],,Revista Mediterranea de Comunicacion
"Hopkins M., Weddle H., Lavadenz M., Murillo M.A., Vahdani T.",Examining the English Learner Policy Ecology: How Educators Navigated the Provision of Designated English Language Development (ELD) Support at the Secondary Level,,Peabody Journal of Education
"Bopp L.L., Aparcero M., Rosenfeld B.",Detecting Symptom Exaggeration and Minimization Using Translated Versions of the MMPI-2 and MMPI-2-RF: A Systematic Review and Preliminary Meta-Analysis,,Law and Human Behavior
Gonzalez D.V.,Embodiment in activist images: addressing the role of the body in digital activism,,"Media, Culture and Society"
"Sun K., Wang R.",The Evolutionary Pattern of Language in English Fiction Over the Last Two Centuries: Insights From Linguistic Concreteness and Imageability,,SAGE Open
Aldrin Salskov S.,"Queer Love, Literature and Philosophy. On Reading The Argonauts",,Policy Futures in Education
"Newton G., Zappavigna M., Drysdale K., Newman C.E.",More than Humor: Memes as Bonding Icons for Belonging in Donor-Conceived People,,Social Media and Society
"Obermeyer J., Reinert L., Kamen R., Pritchard D., Park H., Martin N.",Effect of Working Memory Load and Typicality on Semantic Processing in Aphasia,,American Journal of Speech-Language Pathology
"Norman R.S., Mueller K.D., Huerta P., Shah M.N., Turkstra L.S., Power E.","Discourse Performance in Adults With Mild Traumatic Brain Injury, Orthopedic Injuries, and Moderate to Severe Traumatic Brain Injury, and Healthy Controls",,American Journal of Speech-Language Pathology
"Kim-Bossard M.S., Badenhorst P.",Racialized Language and Social Complexity: The Multilayered Plurilingual Lives of Filipina Migrants in South Korea,,Journal of International Migration and Integration
Buts J.,"Invented languages, intertextuality, and indirect translation: Wilde’s Salomé in Esperanto",,Translation Studies
"Dagarin-Fojkar M., Grahut M., Skubic D.",Teacher Competences for Teaching English as a Foreign Language in the First Educational Cycle of Primary Education,,European Journal of Educational Research
Strack F.,From sound to music: Listening to the political with Gilles Deleuze,,Contemporary Political Theory
"Perini-Santos P., Bodolay A.N., Fabri T.H., Ferreira-Santos L.",About the recognition of linguistic data from a children’s corpus: Communication as a relevant factor [Sobre o reconhecimento dos dados linguísticos de um corpus infantil: A comunicação como fator relevante],,Revista de Estudos da Linguagem
"Ramírez M.L., Migdalek M.J., Rosemberg C.R.",Differences in the syntactic complexity and lexical diversity of utterances with different pragmatic function in the speech addressed to Argentine babies [Diferencias en la complejidad sintáctica y diversidad léxica de enunciados con distinta función pragmática en el habla dirigida a bebés argentinos],,Revista de Estudos da Linguagem
Juanatey M.,Grammaticalization paths of pheriphrastic constructions: Santiagueño Quichua and its relations with other Quechua languages [Caminos de gramaticalización de construcciones perifrásticas: El quichua santiagueño y su relación con otras lenguas de la familia quechua],,Revista de Estudos da Linguagem
"Martí G.P., Caballero F.S., Sellabona E.S.",Academic achievement in middle childhood: relationships with Emotional Intelligence and Social Skills [Rendimiento académico en educación primaria: relaciones con la Inteligencia Emocional y las Habilidades Sociales],,Revista de Educacion
Willford A.,"‘Do You Hear Voices, or Do You Think You Hear Voices?’: Malevolence and Modernity in the Psychiatric Clinic",,South Asia: Journal of South Asia Studies
"Heikkola L.M., Alisaari J., Vigren H., Commins N.",Requirements Meet Reality: Finnish Teachers’ Practices in Linguistically Diverse Classrooms,,"Journal of Language, Identity and Education"
"Okeke G.T., Okeke C.O.",On the semantic-pragmatic interface of Igbo verbs of perception,,Cogent Arts and Humanities
Ferguson J.P.,A Peircean Socio-Semiotic Analysis of Science Students’ Creative Reasoning as/Through Digital Simulations,,Research in Science Education
Mondal P.,Disunity With Unity in Cognition Within the Context of Language–Biology Relations,,Journal of Theoretical and Philosophical Psychology
"Jiang F.K., Hyland K.",COVID-19 in the news: The first 12 months,,International Journal of Applied Linguistics (United Kingdom)
Percillier M.,Adapting the Dynamic Model to historical linguistics Case studies on the Middle English and Anglo-Norman contact situation,,Current Issues in Linguistic Theory
"Lymperopoulou K., Wiśniowski A., Laurence J.","Immigration, diversity and trust: the competing and intersecting role of English language ability in the community",,Ethnic and Racial Studies
